Wall time,Step,Value
1748164226.4297214,5,15.625
1748164229.8436613,18,15.625
1748164231.3930907,24,25.0
1748164235.5476115,40,18.75
1748164236.0423157,42,34.375
1748164236.54405,44,31.25
1748164236.8253648,45,21.875
1748164237.3447,47,28.125
1748164238.8752325,53,25.0
1748164239.6067429,56,28.125
1748164241.9022849,65,18.75
1748164243.5502052,71,40.625
1748164244.5988827,73,40.625
1748164245.1219988,74,53.125
1748164246.45391,79,31.25
1748164248.6913667,87,53.125
1748164250.782741,94,40.625
1748164253.1623135,102,56.25
1748164254.0581837,105,62.5
1748164254.4474494,106,62.5
1748164256.9334705,113,53.125
1748164258.8271677,118,53.125
1748164261.8384864,126,59.375
1748164263.3500931,130,59.375
1748164266.754403,139,81.25
1748164270.9147763,150,71.875
1748164272.8035743,155,75.0
1748164273.8942397,158,78.125
1748164276.969595,167,81.25
1748164277.3444088,168,59.375
1748164280.949308,178,65.625
1748164282.798054,183,81.25
1748164283.5232298,185,81.25
1748164283.8832495,186,78.125
1748164285.386883,190,81.25
1748164288.3589718,198,62.5
1748164291.3099349,206,78.125
1748164291.6886463,207,78.125
1748164293.57644,212,84.375
1748164297.6945596,223,81.25
1748164300.1229572,229,92.30769348144531
1748164304.08292,234,84.375
1748164305.2270434,237,78.125
1748164309.6339164,249,87.5
1748164311.8258648,255,84.375
1748164313.6556108,260,75.0
1748164314.7351134,263,90.625
1748164316.2321227,267,81.25
1748164317.7097304,271,87.5
1748164318.4692986,273,96.875
1748164325.5031278,292,93.75
1748164327.3482199,297,81.25
1748164327.7630627,298,90.625
1748164329.6080122,303,96.875
1748164331.460384,308,87.5
1748164332.2141893,310,90.625
1748164335.1485362,318,90.625
1748164335.5132957,319,90.625
1748164338.083892,326,87.5
1748164338.43983,327,90.625
1748164339.5854645,330,81.25
1748164342.4650345,339,84.375
1748164345.438051,347,93.75
1748164351.3996563,363,90.625
1748164352.8921127,367,84.375
1748164355.1272242,373,84.375
1748164356.636149,377,78.125
1748164357.3900993,379,90.625
1748164361.901507,391,75.0
1748164362.2919247,392,87.5
1748164368.3166316,408,93.75
1748164373.1870477,421,90.625
1748164373.5638943,422,84.375
1748164374.3189847,424,87.5
1748164376.5510921,430,90.625
1748164379.982,439,96.875
1748164380.7337813,441,78.125
1748164381.1054811,442,90.625
1748164382.2273922,445,96.875
1748164384.4648812,451,81.25
1748164389.9170692,460,96.875
1748164391.0391614,463,87.5
1748164391.416239,464,84.375
1748164395.1540575,474,87.5
1748164400.6816268,489,90.625
1748164401.4076343,491,96.875
1748164402.1432264,493,84.375
1748164407.30219,507,87.5
1748164409.2016587,512,93.75
1748164409.942863,514,96.875
1748164411.060925,517,96.875
1748164414.0577846,525,81.25
1748164416.2342768,531,87.5
1748164416.9613276,533,93.75
1748164418.0709403,536,93.75
1748164420.2950222,542,96.875
1748164422.1460433,547,81.25
1748164425.8442962,557,96.875
1748164426.5825636,559,87.5
1748164428.0533156,563,87.5
1748164430.0364335,569,96.875
1748164431.3692932,573,100.0
1748164433.6021478,579,87.5
1748164434.3570313,581,90.625
1748164434.73371,582,81.25
1748164435.4704301,584,96.875
1748164436.2222984,586,87.5
1748164436.5932114,587,87.5
1748164438.4555004,592,96.875
1748164438.8192205,593,100.0
1748164442.159916,602,90.625
1748164444.202352,608,100.0
1748164444.916901,610,93.75
1748164446.6015952,615,87.5
1748164448.4994612,620,87.5
1748164449.2403612,622,90.625
1748164453.7478342,634,93.75
1748164456.3867638,641,93.75
1748164456.779133,642,93.75
1748164457.5075405,644,90.625
1748164458.2618477,646,87.5
1748164458.6322403,647,93.75
1748164459.3846464,649,96.875
1748164463.9095404,661,93.75
1748164465.030846,664,93.75
1748164466.5131738,668,93.75
1748164467.612219,671,96.875
1748164468.7152338,674,90.625
1748164470.1609492,678,100.0
1748164470.5322578,679,87.5
1748164472.00362,683,87.5
1748164473.8460646,688,100.0
1748164474.189926,689,92.30769348144531
1748164479.9085228,699,100.0
1748164481.3780868,703,93.75
1748164482.5146086,706,96.875
1748164485.4244971,714,96.875
1748164486.8779924,718,100.0
1748164487.9864867,721,87.5
1748164488.3574712,722,90.625
1748164488.7226276,723,90.625
1748164491.2994523,730,93.75
1748164493.5048733,736,96.875
1748164494.23484,738,100.0
1748164494.6010706,739,96.875
1748164496.1061752,743,100.0
1748164497.614753,747,100.0
1748164498.7293282,750,90.625
1748164499.1213007,751,90.625
1748164499.4866421,752,96.875
1748164500.9738197,756,96.875
1748164504.312747,765,93.75
1748164505.783967,769,96.875
1748164506.1475205,770,87.5
1748164506.514678,771,100.0
1748164507.2537758,773,96.875
1748164507.6149206,774,100.0
1748164509.8449094,780,100.0
1748164511.2998266,784,93.75
1748164511.6650026,785,93.75
1748164512.3947396,787,96.875
1748164513.1248066,789,93.75
1748164514.214192,792,90.625
1748164514.5818624,793,96.875
1748164514.961131,794,96.875
1748164515.3293955,795,93.75
1748164516.438221,798,93.75
1748164517.7924094,802,96.875
1748164519.5478349,807,93.75
1748164519.9195175,808,96.875
1748164520.3137634,809,84.375
1748164522.5879307,815,100.0
1748164526.3422768,825,96.875
1748164527.4407322,828,100.0
1748164528.905817,832,96.875
1748164530.4008977,836,87.5
1748164531.1553473,838,96.875
1748164533.0191643,843,90.625
1748164542.029827,867,93.75
1748164542.811648,869,96.875
1748164543.1930203,870,96.875
1748164544.7429001,874,96.875
1748164545.485169,876,93.75
1748164546.9176753,880,84.375
1748164547.6582878,882,87.5
1748164550.5788627,890,87.5
1748164552.7933679,896,93.75
1748164554.2611828,900,96.875
1748164556.8309162,907,100.0
1748164557.2050211,908,100.0
1748164557.5725493,909,96.875
1748164557.9445338,910,96.875
1748164559.792726,915,93.75
1748164560.5406272,917,96.875
1748164563.727803,920,96.875
1748164564.0937889,921,100.0
1748164564.8586154,923,96.875
1748164567.8635974,931,100.0
1748164568.2437239,932,96.875
1748164569.3352187,935,100.0
1748164571.9148939,942,93.75
1748164573.061693,945,96.875
1748164576.4536443,954,93.75
1748164577.1839995,956,100.0
1748164577.9231825,958,96.875
1748164579.0345817,961,100.0
1748164579.4067178,962,100.0
1748164582.7807395,971,100.0
1748164583.1578066,972,100.0
1748164584.6344178,976,96.875
1748164584.9993792,977,100.0
1748164585.3774662,978,96.875
1748164585.7454908,979,96.875
1748164587.2205663,983,93.75
1748164587.594495,984,100.0
1748164588.6941864,987,93.75
1748164589.0643852,988,100.0
1748164592.0296435,996,100.0
1748164593.5053148,1000,100.0
1748164594.2528737,1002,96.875
1748164594.9740362,1004,100.0
1748164595.3532255,1005,100.0
1748164598.740046,1014,100.0
1748164599.8620355,1017,100.0
1748164602.891785,1025,96.875
1748164603.6345918,1027,100.0
1748164605.177105,1031,93.75
1748164605.5422058,1032,96.875
1748164607.169508,1037,100.0
1748164609.6742907,1044,100.0
1748164613.5109713,1055,100.0
1748164614.214191,1057,96.875
1748164616.4059627,1063,100.0
1748164617.5045047,1066,96.875
1748164618.2486725,1068,90.625
1748164619.7181597,1072,96.875
1748164621.191044,1076,93.75
1748164621.930433,1078,100.0
1748164623.7624147,1083,100.0
1748164624.126254,1084,100.0
1748164624.500921,1085,100.0
1748164627.4882832,1093,96.875
1748164629.671652,1099,100.0
1748164631.1570747,1103,93.75
1748164631.5239732,1104,96.875
1748164631.896156,1105,96.875
1748164635.173301,1114,100.0
1748164636.989405,1119,96.875
1748164642.184466,1133,96.875
1748164642.957023,1135,96.875
1748164652.4513257,1155,96.875
1748164652.8541725,1156,93.75
1748164654.3459992,1160,100.0
1748164654.7540975,1161,90.625
1748164655.1232064,1162,96.875
1748164661.784547,1180,96.875
1748164663.7056208,1185,100.0
1748164666.294947,1192,96.875
1748164666.6753573,1193,96.875
1748164668.9242468,1199,100.0
1748164669.6512,1201,100.0
1748164671.4909706,1206,100.0
1748164672.2211542,1208,96.875
1748164672.956682,1210,93.75
1748164674.4006102,1214,96.875
1748164681.089725,1232,100.0
1748164681.83786,1234,96.875
1748164682.5742836,1236,100.0
1748164685.5610757,1244,100.0
1748164686.6595814,1247,100.0
1748164688.93732,1253,100.0
1748164689.687685,1255,96.875
1748164690.423189,1257,100.0
1748164690.7896736,1258,100.0
1748164691.8874369,1261,96.875
1748164693.7207565,1266,96.875
1748164696.2937186,1274,100.0
1748164698.951815,1281,100.0
1748164701.140844,1287,93.75
1748164702.6127932,1291,100.0
1748164702.989135,1292,100.0
1748164703.3426602,1293,100.0
1748164703.7144284,1294,100.0
1748164705.8841872,1300,100.0
1748164709.5559318,1310,100.0
1748164710.2946286,1312,90.625
1748164711.406367,1315,100.0
1748164711.782816,1316,100.0
1748164712.8963344,1319,100.0
1748164715.1180289,1325,96.875
1748164715.8742726,1327,100.0
1748164716.9751496,1330,96.875
1748164718.1008785,1333,96.875
1748164719.2418797,1336,93.75
1748164719.622243,1337,100.0
1748164726.361814,1355,96.875
1748164730.4933178,1366,96.875
1748164731.9823494,1370,100.0
1748164739.551541,1385,100.0
1748164740.683284,1388,100.0
1748164741.0561728,1389,96.875
1748164741.8172088,1391,96.875
1748164742.1908207,1392,100.0
1748164749.5547388,1412,100.0
1748164749.918241,1413,100.0
1748164750.287985,1414,96.875
1748164752.121457,1419,100.0
