Wall time,Step,Value
1748166140.9707851,5,3.125
1748166144.4577138,18,6.25
1748166146.0947185,24,12.5
1748166150.348958,40,21.875
1748166150.8951578,42,37.5
1748166151.422221,44,37.5
1748166151.6796784,45,34.375
1748166152.2340078,47,31.25
1748166153.9395328,53,43.75
1748166154.7787561,56,43.75
1748166157.1811998,65,50.0
1748166158.7658155,71,56.25
1748166159.2830331,73,56.25
1748166159.5717058,74,68.75
1748166161.0072458,79,53.125
1748166163.2064092,87,75.0
1748166165.2364478,94,56.25
1748166167.483613,102,68.75
1748166168.327765,105,65.625
1748166168.6101098,106,71.875
1748166170.6558402,113,78.125
1748166172.0335047,118,71.875
1748166174.1809156,126,71.875
1748166175.2319262,130,78.125
1748166177.6471784,139,90.625
1748166180.7830372,150,84.375
1748166182.1744409,155,65.625
1748166182.9880397,158,78.125
1748166185.4878757,167,71.875
1748166185.7732913,168,87.5
1748166188.5088537,178,81.25
1748166189.8678336,183,84.375
1748166190.423927,185,78.125
1748166190.7112238,186,84.375
1748166191.8367617,190,84.375
1748166194.0523763,198,84.375
1748166196.233131,206,68.75
1748166196.521764,207,87.5
1748166197.9172516,212,81.25
1748166201.1446168,223,90.625
1748166202.8102381,229,92.30769348144531
1748166206.3330357,234,75.0
1748166207.1362288,237,87.5
1748166210.4317942,249,75.0
1748166212.070721,255,81.25
1748166213.587477,260,87.5
1748166214.4043124,263,96.875
1748166215.5562813,267,90.625
1748166216.6657398,271,100.0
1748166217.2148066,273,87.5
1748166222.547182,292,84.375
1748166223.9259331,297,81.25
1748166224.211198,298,90.625
1748166225.5890112,303,75.0
1748166227.0051808,308,87.5
1748166227.5978124,310,90.625
1748166229.888744,318,93.75
1748166230.1621423,319,100.0
1748166232.115184,326,96.875
1748166232.402546,327,96.875
1748166233.2355094,330,96.875
1748166235.669388,339,100.0
1748166237.874304,347,87.5
1748166242.2547398,363,93.75
1748166243.3724272,367,96.875
1748166245.0425045,373,87.5
1748166246.1727197,377,93.75
1748166246.7442188,379,96.875
1748166250.0360987,391,87.5
1748166250.3086767,392,96.875
1748166254.849441,408,81.25
1748166258.4374378,421,84.375
1748166258.7213147,422,90.625
1748166259.2641146,424,93.75
1748166261.0479593,430,87.5
1748166263.6513512,439,90.625
