Wall time,Step,Value
1748164256.1255336,5,21.875
1748164261.0034063,18,18.75
1748164263.318579,24,21.875
1748164269.4387763,40,40.625
1748164270.2089639,42,62.5
1748164270.9808326,44,53.125
1748164271.353656,45,53.125
1748164272.099582,47,46.875
1748164274.3479776,53,78.125
1748164275.4189403,56,59.375
1748164278.564363,65,71.875
1748164280.82654,71,71.875
1748164281.592517,73,65.625
1748164281.9733891,74,78.125
1748164283.8269806,79,59.375
1748164286.8239217,87,56.25
1748164289.4264412,94,75.0
1748164292.4402437,102,78.125
1748164293.57444,105,81.25
1748164293.9513059,106,68.75
1748164296.5958,113,84.375
1748164298.4576268,118,65.625
1748164301.23856,126,68.75
1748164302.6971307,130,84.375
1748164306.044164,139,84.375
1748164310.2077188,150,71.875
1748164312.0992224,155,84.375
1748164313.2703912,158,78.125
1748164316.7586496,167,81.25
1748164317.1599069,168,78.125
1748164320.9971483,178,90.625
1748164322.9028542,183,84.375
1748164323.656624,185,81.25
1748164324.037881,186,87.5
1748164325.51863,190,93.75
1748164328.5541427,198,78.125
1748164331.5717602,206,90.625
1748164331.9323502,207,87.5
1748164333.8019507,212,84.375
1748164337.943126,223,96.875
1748164340.3286686,229,84.61538696289062
1748164344.329122,234,84.375
1748164345.4460526,237,81.25
1748164349.8806865,249,96.875
1748164352.1421614,255,90.625
1748164354.0432198,260,90.625
1748164355.1522245,263,93.75
1748164356.6396499,267,87.5
1748164358.1322598,271,84.375
1748164358.8902628,273,100.0
1748164366.0775568,292,96.875
1748164367.9508877,297,87.5
1748164368.3176312,298,96.875
1748164370.1772113,303,81.25
1748164372.0409718,308,90.625
1748164372.7842195,310,93.75
1748164375.8080869,318,87.5
1748164376.172852,319,78.125
1748164378.85421,326,84.375
1748164379.2257798,327,93.75
1748164380.3608902,330,96.875
1748164383.8171604,339,93.75
1748164386.8349335,347,90.625
1748164392.6254306,363,87.5
1748164394.1168296,367,93.75
1748164396.359068,373,100.0
1748164397.8236773,377,93.75
1748164398.5737095,379,93.75
1748164403.1732001,391,96.875
1748164403.545709,392,96.875
1748164409.533143,408,96.875
1748164414.4098718,421,93.75
1748164414.7730007,422,90.625
1748164415.528024,424,87.5
1748164417.7834127,430,78.125
1748164421.145389,439,87.5
1748164421.8805366,441,100.0
1748164422.2494256,442,93.75
1748164423.4610505,445,84.375
1748164425.705406,451,93.75
1748164431.3252556,460,96.875
1748164432.4925508,463,93.75
1748164432.88176,464,93.75
1748164436.6432803,474,93.75
1748164442.2318878,489,96.875
1748164442.9270961,491,100.0
1748164443.5918195,493,84.375
1748164448.5466514,507,93.75
1748164450.3988829,512,90.625
1748164451.1422222,514,96.875
1748164452.2675903,517,100.0
1748164455.2677238,525,96.875
1748164457.5149155,531,100.0
1748164458.2648478,533,100.0
1748164459.3866465,536,96.875
1748164461.596314,542,100.0
1748164463.453639,547,93.75
1748164467.151726,557,100.0
1748164467.886187,559,100.0
1748164469.3471305,563,100.0
1748164471.5882478,569,90.625
1748164473.115516,573,96.875
1748164475.2409244,579,96.875
1748164475.9390383,581,100.0
1748164476.2866783,582,96.875
1748164477.0546284,584,96.875
1748164477.8338158,586,96.875
1748164478.2352986,587,100.0
1748164480.1573842,592,87.5
1748164480.5534508,593,93.75
1748164484.022482,602,100.0
1748164486.3314657,608,100.0
1748164487.0756848,610,100.0
1748164488.9164054,615,100.0
1748164490.8457596,620,96.875
1748164491.5855668,622,96.875
1748164496.1081755,634,93.75
1748164498.7763653,641,93.75
1748164499.169304,642,100.0
1748164499.913378,644,100.0
1748164500.6502976,646,100.0
1748164501.0078194,647,93.75
1748164501.754671,649,90.625
1748164506.264065,661,96.875
1748164507.3907905,664,100.0
1748164508.9337554,668,100.0
1748164510.076444,671,96.875
1748164511.1596875,674,90.625
1748164512.6808546,678,93.75
1748164513.0499253,679,100.0
1748164514.5828624,683,96.875
1748164516.4853067,688,90.625
1748164516.8298428,689,92.30769348144531
1748164522.7948525,699,96.875
1748164524.3676322,703,96.875
1748164525.5267088,706,93.75
1748164528.5301638,714,100.0
1748164530.0284157,718,93.75
1748164531.1593473,721,100.0
1748164531.5208538,722,100.0
1748164531.9037645,723,96.875
1748164534.5417895,730,96.875
1748164536.8042772,736,96.875
1748164537.5554585,738,100.0
1748164537.920112,739,96.875
1748164539.4059865,743,100.0
1748164540.9043787,747,100.0
1748164542.0308273,750,100.0
1748164542.4041338,751,100.0
1748164542.7701464,752,100.0
1748164544.3086584,756,100.0
1748164547.6667905,765,96.875
1748164549.1687865,769,96.875
1748164549.5434382,770,93.75
1748164549.9629815,771,96.875
1748164550.7338421,773,96.875
1748164551.1016576,774,100.0
1748164553.395183,780,96.875
1748164554.8926857,784,96.875
1748164555.2598302,785,100.0
1748164556.0492916,787,96.875
1748164556.837916,789,100.0
1748164557.9620354,792,100.0
1748164558.3367405,793,100.0
1748164558.7409341,794,93.75
1748164559.1261322,795,100.0
1748164560.2545328,798,100.0
1748164561.6846259,802,93.75
1748164563.3667822,807,96.875
1748164563.7883043,808,93.75
1748164564.1822987,809,96.875
1748164566.4852645,815,96.875
1748164570.256424,825,96.875
1748164571.3602874,828,96.875
1748164572.8195817,832,100.0
1748164574.3106453,836,100.0
1748164575.0598652,838,96.875
1748164576.9527726,843,100.0
1748164585.9142373,867,96.875
1748164586.6643186,869,93.75
1748164587.0327823,870,93.75
1748164588.5365427,874,100.0
1748164589.2643437,876,93.75
1748164590.7680247,880,100.0
1748164591.5177016,882,93.75
1748164594.5536392,890,96.875
1748164596.847001,896,100.0
1748164598.3616734,900,100.0
1748164600.9951823,907,93.75
1748164601.3638718,908,96.875
1748164601.7580876,909,96.875
1748164602.127689,910,96.875
1748164604.049514,915,96.875
1748164604.8019607,917,100.0
1748164608.166464,920,96.875
1748164608.5432186,921,96.875
1748164609.2991338,923,100.0
1748164612.2604377,931,100.0
1748164612.553269,932,100.0
1748164613.624983,935,100.0
1748164616.1333177,942,100.0
1748164617.2604694,945,96.875
1748164620.6592617,954,100.0
1748164621.428074,956,100.0
1748164622.1987078,958,100.0
1748164623.3098066,961,100.0
1748164623.7024062,962,100.0
