Wall time,Step,Value
1748163989.0232136,5,6.25
1748163992.3896072,18,3.125
1748163994.0017712,24,6.25
1748163998.303046,40,15.625
1748163998.8076322,42,28.125
1748163999.3206835,44,25.0
1748163999.5757751,45,43.75
1748164000.0904253,47,18.75
1748164001.677842,53,40.625
1748164002.4724731,56,21.875
1748164004.8968277,65,28.125
1748164006.4930925,71,25.0
1748164007.0353682,73,25.0
1748164007.3049698,74,34.375
1748164008.6264327,79,40.625
1748164010.785206,87,34.375
1748164012.6407423,94,43.75
1748164014.7576022,102,37.5
1748164015.5449986,105,28.125
1748164015.8070486,106,40.625
1748164017.66346,113,34.375
1748164018.995509,118,25.0
1748164021.1321757,126,50.0
1748164022.1852372,130,50.0
1748164024.5857477,139,40.625
1748164027.5340164,150,53.125
1748164028.8517637,155,50.0
1748164029.6742578,158,37.5
1748164032.0637186,167,56.25
1748164032.3238328,168,56.25
1748164034.9818957,178,53.125
1748164036.2961495,183,62.5
1748164036.8240657,185,56.25
1748164037.0908418,186,56.25
1748164038.1452515,190,56.25
1748164040.2622359,198,53.125
1748164042.381928,206,53.125
1748164042.6490765,207,50.0
1748164043.9751813,212,68.75
1748164047.0494978,223,46.875
1748164048.696766,229,46.153846740722656
1748164051.8346891,234,53.125
1748164052.6466498,237,62.5
1748164055.8496604,249,68.75
1748164057.4245834,255,75.0
1748164058.7295592,260,53.125
1748164059.5242653,263,56.25
1748164060.5498126,267,56.25
1748164061.615527,271,56.25
1748164062.1554046,273,62.5
1748164067.3092637,292,62.5
1748164068.6186206,297,68.75
1748164068.872406,298,78.125
1748164070.218916,303,78.125
1748164071.5817275,308,68.75
1748164072.1334188,310,59.375
1748164074.3413727,318,65.625
1748164074.6123228,319,65.625
1748164076.6020844,326,56.25
1748164076.879509,327,68.75
1748164077.682914,330,65.625
1748164080.1880674,339,56.25
1748164082.375135,347,50.0
1748164086.558421,363,78.125
1748164087.6127534,367,59.375
1748164089.315911,373,62.5
1748164090.3224754,377,65.625
1748164090.8462176,379,75.0
1748164093.913488,391,71.875
1748164094.1775522,392,71.875
1748164098.5119333,408,56.25
1748164101.9843905,421,71.875
1748164102.2572148,422,62.5
1748164102.7780328,424,75.0
1748164104.3958204,430,71.875
1748164106.7832062,439,84.375
1748164107.3257606,441,53.125
1748164107.5982857,442,84.375
1748164108.4209313,445,62.5
1748164110.0015676,451,68.75
1748164114.2062883,460,59.375
1748164115.0324636,463,68.75
1748164115.3048463,464,78.125
1748164118.1081884,474,75.0
1748164122.2661266,489,71.875
1748164122.8355348,491,87.5
1748164123.4358592,493,65.625
1748164127.1465695,507,84.375
1748164128.5127897,512,65.625
1748164129.0276122,514,81.25
1748164129.8010037,517,68.75
1748164131.9556828,525,78.125
1748164133.642258,531,71.875
1748164134.1785803,533,81.25
1748164134.9834583,536,78.125
1748164136.645747,542,81.25
1748164138.0669696,547,90.625
1748164140.7712314,557,87.5
1748164141.3230844,559,71.875
1748164142.4083073,563,78.125
1748164144.929861,569,81.25
1748164146.097486,573,81.25
1748164147.8804588,579,65.625
1748164148.409447,581,87.5
1748164148.8188872,582,84.375
1748164149.5356643,584,71.875
1748164150.1265385,586,84.375
1748164150.3938978,587,78.125
1748164151.9235396,592,71.875
1748164152.2733903,593,81.25
1748164156.3505654,602,84.375
1748164159.2102008,608,84.375
1748164160.1548312,610,75.0
1748164161.8377907,615,78.125
1748164163.28007,620,87.5
1748164163.8282914,622,84.375
1748164167.0236764,634,84.375
1748164168.8263938,641,81.25
1748164169.1044478,642,75.0
1748164169.6415396,644,84.375
1748164170.1846159,646,81.25
1748164170.4527583,647,81.25
1748164170.9862425,649,87.5
1748164174.3321257,661,81.25
1748164175.122654,664,71.875
1748164176.2458415,668,84.375
1748164177.03444,671,71.875
1748164177.9205594,674,93.75
1748164179.0060852,678,75.0
1748164179.2714627,679,62.5
1748164180.3477712,683,84.375
1748164181.692831,688,81.25
1748164181.9483807,689,61.53845977783203
1748164186.7315252,699,62.5
1748164187.7799642,703,93.75
1748164188.58702,706,75.0
1748164190.7019866,714,71.875
1748164191.7660394,718,78.125
1748164192.5723684,721,84.375
1748164192.853039,722,78.125
1748164193.131597,723,90.625
1748164195.1291063,730,87.5
1748164196.735638,736,71.875
1748164197.2473764,738,68.75
1748164197.5218332,739,81.25
1748164198.6015232,743,87.5
1748164199.6715178,747,81.25
1748164200.5474908,750,75.0
1748164200.869386,751,90.625
1748164201.1551752,752,71.875
1748164202.2969925,756,78.125
1748164204.898003,765,78.125
1748164205.9693418,769,84.375
1748164206.2485275,770,81.25
1748164206.5318189,771,93.75
1748164207.0628717,773,96.875
1748164207.3294911,774,65.625
1748164208.898632,780,78.125
1748164209.953188,784,84.375
1748164210.2160397,785,96.875
1748164210.757866,787,87.5
1748164211.3398092,789,84.375
1748164212.1848223,792,81.25
1748164212.4700444,793,87.5
1748164212.7589982,794,84.375
1748164213.0280995,795,90.625
1748164213.8542092,798,84.375
1748164214.9071562,802,87.5
1748164216.2401378,807,75.0
1748164216.5082211,808,78.125
1748164216.7879388,809,84.375
1748164218.8028028,815,87.5
1748164221.9680052,825,87.5
1748164223.1293995,828,87.5
1748164224.229803,832,68.75
1748164225.611695,836,84.375
1748164226.5131183,838,87.5
1748164228.9399407,843,84.375
1748164240.720722,867,84.375
1748164241.6717677,869,81.25
1748164242.1587327,870,81.25
1748164244.410487,874,75.0
1748164245.6261978,876,78.125
1748164247.6203754,880,87.5
1748164248.6963665,882,71.875
1748164253.2693825,890,90.625
1748164257.2227721,896,75.0
1748164260.1836128,900,78.125
1748164265.4379365,907,87.5
1748164266.1946652,908,87.5
1748164266.9442353,909,84.375
1748164267.6870923,910,75.0
1748164271.336656,915,93.75
1748164272.7800024,917,78.125
1748164279.0479734,920,84.375
1748164279.830339,921,90.625
1748164281.2598095,923,84.375
1748164287.0262198,931,81.25
1748164287.7578247,932,81.25
1748164289.9259436,935,81.25
1748164294.9270105,942,93.75
1748164297.0778644,945,93.75
1748164303.0521235,954,87.5
1748164304.451446,956,84.375
1748164305.888221,958,84.375
1748164308.0204256,961,100.0
1748164308.7374628,962,93.75
1748164315.1995797,971,96.875
1748164315.9014258,972,93.75
1748164318.77501,976,90.625
1748164319.5236902,977,84.375
1748164320.225685,978,96.875
1748164320.9339159,979,78.125
1748164323.739133,983,81.25
1748164324.4826205,984,87.5
1748164326.6112208,987,90.625
1748164327.340524,988,87.5
1748164333.055241,996,84.375
1748164335.9297862,1000,78.125
1748164337.378984,1002,78.125
1748164338.817067,1004,90.625
1748164339.5314603,1005,87.5
1748164345.6947656,1014,96.875
1748164347.8537176,1017,93.75
1748164353.6453855,1025,81.25
1748164355.079219,1027,93.75
1748164357.9936955,1031,84.375
1748164358.691481,1032,90.625
1748164362.2809238,1037,81.25
1748164367.2746284,1044,96.875
1748164375.145657,1055,96.875
1748164376.5805938,1057,93.75
1748164380.9538634,1063,93.75
1748164383.1484442,1066,90.625
1748164384.6283207,1068,90.625
1748164387.5423,1072,81.25
1748164390.2378817,1076,87.5
1748164391.64872,1078,90.625
1748164395.2498124,1083,84.375
1748164395.9571867,1084,84.375
1748164396.662688,1085,96.875
1748164402.4584727,1093,84.375
1748164406.8152728,1099,87.5
1748164409.6467025,1103,84.375
1748164410.3540466,1104,93.75
1748164411.063426,1105,81.25
1748164417.6360662,1114,93.75
1748164421.2724004,1119,78.125
1748164431.1418676,1133,81.25
1748164432.5971148,1135,87.5
1748164451.3685503,1155,87.5
1748164452.068575,1156,81.25
1748164454.9037938,1160,75.0
1748164455.6246998,1161,87.5
1748164456.355799,1162,90.625
1748164469.4011343,1180,84.375
1748164472.9676847,1185,93.75
1748164477.6888783,1192,93.75
1748164478.3878086,1193,93.75
1748164482.676518,1199,93.75
1748164484.1169846,1201,93.75
1748164487.7821152,1206,96.875
1748164489.2512867,1208,90.625
1748164490.6866236,1210,87.5
1748164493.5608768,1214,84.375
1748164506.4473224,1232,90.625
1748164507.861282,1234,84.375
1748164509.2819192,1236,93.75
1748164515.091684,1244,87.5
1748164517.1617434,1247,96.875
1748164521.2299612,1253,84.375
1748164522.6747475,1255,90.625
1748164524.084818,1257,93.75
1748164524.8102899,1258,81.25
1748164526.9376113,1261,90.625
1748164530.519306,1266,87.5
1748164536.2021852,1274,90.625
1748164541.2415755,1281,81.25
1748164545.5709348,1287,93.75
1748164548.5228891,1291,81.25
1748164549.2456923,1292,96.875
1748164549.9834838,1293,93.75
1748164550.6838357,1294,84.375
1748164554.9926853,1300,93.75
1748164562.0012639,1310,93.75
1748164563.2465773,1312,87.5
1748164565.3357787,1315,90.625
1748164566.0607798,1316,78.125
1748164568.196181,1319,87.5
1748164572.5234535,1325,90.625
1748164573.942272,1327,87.5
1748164576.0677226,1330,90.625
1748164578.1969924,1333,81.25
1748164580.3429666,1336,87.5
1748164581.0662634,1337,87.5
1748164593.9955833,1355,90.625
1748164601.7670429,1366,90.625
1748164604.6860812,1370,81.25
1748164619.4745057,1385,87.5
1748164621.5974934,1388,93.75
1748164622.3131807,1389,96.875
1748164623.7519124,1391,75.0
1748164624.4573696,1392,87.5
1748164638.850073,1412,93.75
1748164639.5623937,1413,84.375
1748164640.312306,1414,93.75
1748164643.9199824,1419,96.875
1748164646.0838346,1422,84.375
1748164648.8808236,1426,87.5
1748164650.1119483,1428,93.75
1748164652.966832,1432,93.75
1748164655.7950037,1436,93.75
1748164658.7471976,1440,96.875
1748164670.3136175,1456,96.875
1748164676.7248044,1465,96.875
1748164677.4431121,1466,96.875
1748164685.3702781,1477,93.75
1748164691.1324155,1485,87.5
1748164691.8529341,1486,96.875
1748164694.026267,1489,96.875
1748164695.258487,1491,93.75
1748164695.890082,1492,93.75
1748164701.6230996,1500,96.875
1748164702.3483734,1501,96.875
1748164707.4369292,1508,100.0
1748164708.874453,1510,100.0
1748164718.1688204,1523,84.375
1748164718.8746092,1524,93.75
1748164721.0137825,1527,90.625
1748164726.111286,1534,96.875
1748164734.6831386,1546,93.75
1748164738.024003,1551,81.25
1748164738.7343647,1552,81.25
1748164740.1703377,1554,93.75
1748164745.1414557,1561,93.75
1748164750.1955478,1568,96.875
1748164750.9173937,1569,96.875
1748164757.3586862,1578,81.25
1748164760.221092,1582,84.375
1748164761.6514337,1584,90.625
1748164764.523417,1588,100.0
1748164770.8837585,1597,90.625
1748164775.9150772,1604,93.75
1748164776.633488,1605,96.875
1748164784.6931255,1610,93.75
1748164790.3676336,1618,96.875
1748164791.7920904,1620,93.75
1748164796.8061833,1627,96.875
1748164797.5105312,1628,96.875
1748164800.3788347,1632,100.0
1748164804.0646021,1637,96.875
1748164806.214504,1640,96.875
1748164807.647663,1642,96.875
1748164809.777611,1645,96.875
1748164811.9386845,1648,93.75
1748164814.7910693,1652,96.875
1748164820.5506508,1660,93.75
1748164825.9860396,1668,96.875
1748164827.4402618,1670,96.875
1748164828.8997016,1672,90.625
1748164831.0736265,1675,100.0
1748164831.7883756,1676,90.625
1748164836.0592437,1682,93.75
1748164836.7856874,1683,93.75
1748164842.5433674,1691,96.875
1748164844.748842,1694,93.75
