Wall time,Step,Value
1747994957.5187457,5,6.25
1747994959.6485872,18,9.375
1747994960.698048,24,9.375
1747994963.6355171,40,25.0
1747994963.973257,42,34.375
1747994964.3009427,44,31.25
1747994964.4593642,45,25.0
1747994964.8014455,47,18.75
1747994965.8327982,53,43.75
1747994966.3450491,56,43.75
1747994967.8733418,65,28.125
1747994968.898844,71,50.0
1747994969.2298121,73,65.625
1747994969.3971531,74,50.0
1747994970.2413378,79,59.375
1747994971.576794,87,68.75
1747994972.7541015,94,68.75
1747994974.0776167,102,46.875
1747994974.5830984,105,62.5
1747994974.7524223,106,65.625
1747994975.945883,113,53.125
1747994976.7666435,118,65.625
1747994978.0974057,126,78.125
1747994978.7807047,130,59.375
1747994980.301995,139,68.75
1747994982.0948699,150,68.75
1747994982.907266,155,59.375
1747994983.4410744,158,75.0
1747994984.9727523,167,68.75
1747994985.1484096,168,75.0
1747994986.8359964,178,84.375
1747994987.6870492,183,81.25
1747994988.0118325,185,75.0
1747994988.17884,186,68.75
1747994988.8290179,190,78.125
1747994990.1265552,198,90.625
1747994991.3770003,206,81.25
1747994991.5282676,207,84.375
1747994992.3202426,212,90.625
1747994994.0864234,223,81.25
1747994995.231906,229,69.23076629638672
1747994997.2394247,234,87.5
1747994997.753279,237,87.5
1747994999.889141,249,78.125
1747995000.8861501,255,96.875
1747995001.6976118,260,75.0
1747995002.1917572,263,81.25
1747995002.8764262,267,87.5
1747995003.5630255,271,84.375
1747995003.8881,273,78.125
1747995007.194551,292,84.375
1747995008.0201497,297,87.5
1747995008.174798,298,84.375
1747995008.9783447,303,96.875
1747995009.7902808,308,84.375
1747995010.1048708,310,84.375
1747995011.4182436,318,90.625
1747995011.6002524,319,84.375
1747995012.7578785,326,90.625
1747995012.924708,327,84.375
1747995013.4200559,330,81.25
1747995014.9318454,339,90.625
1747995016.2353537,347,81.25
1747995018.862954,363,81.25
1747995019.5355158,367,93.75
1747995020.5025856,373,93.75
1747995021.1420796,377,90.625
1747995021.4716651,379,93.75
1747995023.4334784,391,87.5
1747995023.5994616,392,96.875
1747995026.2453437,408,93.75
1747995028.384806,421,90.625
1747995028.5513756,422,93.75
1747995028.8831975,424,87.5
1747995029.862554,430,90.625
1747995031.3297904,439,96.875
1747995031.6626856,441,87.5
1747995031.8225012,442,84.375
1747995032.3173301,445,93.75
1747995033.2824924,451,93.75
1747995035.821249,460,96.875
1747995036.3244843,463,96.875
1747995036.4990022,464,93.75
1747995038.1595187,474,96.875
1747995040.6408505,489,96.875
1747995040.971187,491,90.625
1747995041.2929623,493,96.875
1747995043.5901577,507,90.625
1747995044.4022205,512,87.5
1747995044.7387443,514,87.5
1747995045.254347,517,90.625
1747995046.5429542,525,93.75
1747995047.5280433,531,96.875
1747995047.8614628,533,96.875
1747995048.345198,536,100.0
1747995049.3236513,542,93.75
1747995050.139921,547,96.875
1747995051.7662907,557,96.875
1747995052.110008,559,90.625
1747995052.7854161,563,100.0
1747995053.8029132,569,93.75
1747995054.4878438,573,93.75
1747995055.6665342,579,100.0
1747995056.0017443,581,96.875
1747995056.1613824,582,93.75
1747995056.4843884,584,93.75
1747995056.8029845,586,96.875
1747995056.9702537,587,87.5
1747995057.7770092,592,96.875
1747995057.9397488,593,100.0
1747995059.422825,602,96.875
1747995060.402397,608,96.875
1747995060.7276423,610,81.25
1747995061.559741,615,96.875
1747995062.371921,620,90.625
1747995062.6949556,622,96.875
1747995064.6344347,634,96.875
1747995065.7982614,641,96.875
1747995065.9646795,642,96.875
1747995066.3014858,644,100.0
1747995066.6322608,646,96.875
1747995066.795375,647,96.875
1747995067.116898,649,90.625
1747995069.0661836,661,93.75
1747995069.5521393,664,93.75
1747995070.195492,668,93.75
1747995070.676782,671,100.0
1747995071.1684525,674,100.0
1747995071.8863788,678,90.625
1747995072.0601482,679,84.375
1747995072.7171407,683,90.625
1747995073.5390804,688,87.5
1747995073.6936762,689,84.61538696289062
1747995076.6187892,699,100.0
1747995077.2803328,703,96.875
1747995077.7667966,706,93.75
1747995079.1271787,714,93.75
1747995079.808278,718,100.0
1747995080.3026328,721,96.875
1747995080.4716358,722,93.75
1747995080.6308298,723,90.625
1747995081.8188212,730,93.75
1747995082.8220131,736,90.625
1747995083.154613,738,84.375
1747995083.3221767,739,100.0
1747995083.967391,743,100.0
1747995084.6261272,747,100.0
1747995085.135562,750,90.625
1747995085.3016884,751,90.625
1747995085.4627738,752,96.875
1747995086.135274,756,96.875
1747995087.6318746,765,96.875
1747995088.297352,769,96.875
1747995088.4630811,770,96.875
1747995088.6257184,771,100.0
1747995088.9604983,773,96.875
1747995089.1253145,774,93.75
1747995090.1135378,780,90.625
1747995090.7635608,784,100.0
1747995090.9222229,785,90.625
1747995091.2443092,787,100.0
1747995091.5699735,789,96.875
1747995092.0678868,792,96.875
1747995092.2371633,793,93.75
1747995092.4091096,794,93.75
1747995092.566478,795,93.75
1747995093.0618207,798,96.875
1747995093.915855,802,90.625
1747995094.7656167,807,100.0
1747995094.931494,808,96.875
1747995095.0932002,809,96.875
1747995096.0883446,815,100.0
1747995097.7389839,825,96.875
1747995098.2143438,828,100.0
1747995098.8617527,832,100.0
1747995099.5593493,836,90.625
1747995099.8853211,838,100.0
1747995100.7144449,843,93.75
1747995104.8134272,867,90.625
1747995105.172564,869,96.875
1747995105.4333925,870,93.75
1747995106.1403325,874,100.0
1747995106.482428,876,93.75
1747995107.1442719,880,93.75
1747995107.4691272,882,100.0
1747995108.989768,890,100.0
1747995109.9876933,896,96.875
1747995110.6439722,900,100.0
1747995111.798223,907,96.875
1747995111.962833,908,96.875
1747995112.1299365,909,93.75
1747995112.2899945,910,96.875
1747995113.1251295,915,96.875
1747995113.4662125,917,96.875
1747995115.085012,920,96.875
1747995115.2445729,921,96.875
1747995115.5705361,923,93.75
1747995116.869989,931,100.0
1747995117.033201,932,90.625
1747995117.5208652,935,96.875
1747995118.673707,942,96.875
1747995119.1661086,945,93.75
1747995120.6274278,954,100.0
1747995120.9549282,956,100.0
1747995121.2811675,958,100.0
1747995121.7627552,961,96.875
1747995121.924658,962,96.875
1747995123.3990424,971,96.875
1747995123.5668166,972,96.875
1747995124.2255666,976,100.0
1747995124.3866656,977,96.875
1747995124.5500183,978,100.0
1747995124.7094493,979,96.875
1747995125.3610177,983,100.0
1747995125.5237005,984,100.0
1747995126.0221152,987,100.0
1747995126.187141,988,100.0
1747995127.4934192,996,100.0
1747995128.144876,1000,100.0
1747995128.4706683,1002,100.0
1747995128.801144,1004,96.875
1747995128.9665313,1005,96.875
1747995130.4490166,1014,100.0
1747995130.951546,1017,96.875
1747995132.2898972,1025,96.875
1747995132.6146693,1027,100.0
1747995133.2577562,1031,100.0
1747995133.419426,1032,100.0
1747995134.2661335,1037,93.75
1747995135.404082,1044,96.875
1747995137.2015483,1055,93.75
1747995137.5354376,1057,93.75
1747995138.5120056,1063,100.0
1747995139.0271354,1066,100.0
1747995139.3537538,1068,100.0
1747995140.0317514,1072,93.75
1747995140.7024229,1076,96.875
1747995141.0236409,1078,100.0
1747995141.8410184,1083,96.875
1747995141.9995735,1084,100.0
1747995142.1586514,1085,93.75
1747995143.458693,1093,96.875
1747995144.4389205,1099,93.75
1747995145.1020563,1103,96.875
1747995145.2644978,1104,96.875
1747995145.429571,1105,96.875
1747995146.898195,1114,100.0
1747995147.7276635,1119,93.75
1747995150.0298595,1133,96.875
1747995150.3626678,1135,90.625
1747995154.7310622,1155,100.0
1747995154.9053183,1156,96.875
1747995155.5434217,1160,100.0
1747995155.7099926,1161,100.0
1747995155.874639,1162,96.875
1747995158.8802774,1180,100.0
1747995159.6937275,1185,93.75
1747995160.8326335,1192,96.875
1747995161.0001462,1193,100.0
1747995161.9815977,1199,100.0
1747995162.3020172,1201,96.875
1747995163.1132436,1206,96.875
1747995163.4436169,1208,100.0
1747995163.7765293,1210,100.0
1747995164.4302726,1214,100.0
1747995167.383753,1232,93.75
1747995167.7020488,1234,100.0
1747995168.032949,1236,100.0
1747995169.3331344,1244,100.0
1747995169.8135445,1247,93.75
1747995170.8056867,1253,96.875
1747995171.1285717,1255,96.875
1747995171.454323,1257,96.875
1747995171.609921,1258,96.875
1747995172.0897782,1261,100.0
1747995172.908523,1266,93.75
1747995174.2210374,1274,96.875
1747995175.3543012,1281,100.0
1747995176.340939,1287,100.0
1747995176.9871218,1291,100.0
1747995177.149985,1292,100.0
1747995177.3122582,1293,100.0
1747995177.4705834,1294,100.0
1747995178.4572892,1300,96.875
1747995180.078603,1310,100.0
1747995180.4018793,1312,96.875
1747995180.9026394,1315,100.0
1747995181.0660741,1316,96.875
1747995181.5631082,1319,100.0
1747995182.5507581,1325,100.0
1747995182.8733795,1327,96.875
1747995183.380641,1330,96.875
1747995183.87691,1333,100.0
1747995184.364058,1336,100.0
1747995184.5290704,1337,100.0
1747995187.4921603,1355,96.875
1747995189.3093643,1366,100.0
1747995189.9558473,1370,100.0
1747995193.4736292,1385,96.875
1747995193.9660187,1388,96.875
1747995194.1261034,1389,100.0
1747995194.4537625,1391,96.875
1747995194.6220474,1392,93.75
1747995197.907255,1412,96.875
1747995198.0699027,1413,100.0
1747995198.2366354,1414,100.0
1747995199.0712922,1419,96.875
1747995199.5595438,1422,100.0
1747995200.2104204,1426,100.0
1747995200.5330436,1428,96.875
1747995201.1853657,1432,100.0
1747995201.8401263,1436,96.875
1747995202.522229,1440,100.0
1747995205.2004042,1456,100.0
1747995206.6579869,1465,100.0
1747995206.8200967,1466,96.875
1747995208.6112318,1477,100.0
1747995209.9095376,1485,100.0
1747995210.076287,1486,100.0
1747995210.5791843,1489,100.0
1747995210.904153,1491,100.0
1747995211.0736988,1492,100.0
1747995212.3737357,1500,100.0
1747995212.5500453,1501,100.0
1747995213.700325,1508,100.0
1747995214.0252044,1510,100.0
1747995216.171132,1523,96.875
1747995216.3346505,1524,100.0
1747995216.8273969,1527,100.0
1747995217.9646258,1534,100.0
1747995219.9525437,1546,96.875
1747995220.7756596,1551,100.0
1747995220.9342487,1552,100.0
1747995221.2544959,1554,96.875
1747995222.4392228,1561,96.875
1747995223.5991247,1568,100.0
1747995223.756954,1569,100.0
1747995225.209324,1578,100.0
1747995225.8788533,1582,100.0
1747995226.2024703,1584,100.0
1747995226.8715484,1588,96.875
1747995228.351615,1597,100.0
1747995229.487506,1604,100.0
1747995229.6560302,1605,100.0
1747995231.5697265,1610,100.0
1747995232.8937075,1618,100.0
1747995233.2210875,1620,100.0
1747995234.3607907,1627,100.0
1747995234.522249,1628,100.0
1747995235.1748362,1632,100.0
1747995236.0013852,1637,100.0
1747995236.4923291,1640,100.0
1747995236.818108,1642,100.0
1747995237.308275,1645,100.0
1747995237.7949245,1648,100.0
1747995238.450369,1652,100.0
1747995239.7536616,1660,100.0
1747995241.065384,1668,100.0
1747995241.3825552,1670,100.0
1747995241.7108736,1672,100.0
1747995242.204638,1675,100.0
1747995242.368843,1676,93.75
1747995243.375752,1682,96.875
1747995243.5377219,1683,100.0
1747995244.8497913,1691,100.0
1747995245.3385363,1694,96.875
1747995245.5053413,1695,100.0
1747995245.6689568,1696,100.0
1747995245.8304827,1697,100.0
1747995246.2277586,1699,100.0
1747995246.7138717,1702,100.0
1747995247.8648374,1709,100.0
1747995248.0245917,1710,100.0
1747995249.1772757,1717,100.0
1747995249.3354177,1718,100.0
1747995249.4990292,1719,100.0
1747995251.0291712,1728,100.0
1747995251.6954463,1732,100.0
1747995252.0228004,1734,100.0
1747995252.1905565,1735,100.0
1747995252.518443,1737,100.0
1747995253.351634,1742,100.0
1747995253.5186973,1743,100.0
1747995253.8508658,1745,100.0
1747995254.0168557,1746,100.0
1747995254.183077,1747,100.0
1747995255.0139687,1752,100.0
1747995257.3105853,1766,100.0
1747995258.799599,1775,100.0
1747995259.787039,1781,100.0
1747995260.9222753,1788,96.875
1747995261.0835319,1789,100.0
1747995262.6093643,1798,100.0
1747995263.7388937,1805,100.0
1747995265.2130766,1814,100.0
1747995265.694244,1817,100.0
1747995266.8456433,1824,100.0
1747995267.193054,1826,100.0
1747995267.8523755,1830,100.0
1747995270.6380563,1840,100.0
1747995270.8185759,1841,100.0
1747995271.328615,1844,100.0
1747995272.1671004,1849,100.0
1747995272.8532975,1853,100.0
1747995275.0727057,1866,100.0
