Wall time,Step,Value
1747995847.975557,5,9.375
1747995850.002332,18,9.375
1747995850.9594588,24,25.0
1747995853.397957,40,50.0
1747995853.7140794,42,46.875
1747995854.010113,44,43.75
1747995854.17055,45,37.5
1747995854.502545,47,43.75
1747995855.461197,53,56.25
1747995855.9742668,56,50.0
1747995857.3823895,65,71.875
1747995858.3141239,71,62.5
1747995858.6364605,73,68.75
1747995858.7859602,74,75.0
1747995859.6486318,79,50.0
1747995860.9565463,87,62.5
1747995862.0911937,94,75.0
1747995863.3991995,102,78.125
1747995863.865181,105,65.625
1747995864.0209758,106,84.375
1747995865.0896792,113,65.625
1747995865.8685615,118,59.375
1747995867.1830466,126,75.0
1747995867.8086116,130,93.75
1747995869.3556151,139,87.5
1747995871.3747041,150,75.0
1747995872.199271,155,68.75
1747995872.6564457,158,81.25
1747995874.0983832,167,93.75
1747995874.263308,168,78.125
1747995875.8646524,178,90.625
1747995876.6568465,183,81.25
1747995876.9917367,185,84.375
1747995877.137425,186,78.125
1747995877.7402399,190,87.5
1747995879.0523446,198,84.375
1747995880.4486542,206,87.5
1747995880.6102903,207,87.5
1747995881.5392697,212,87.5
1747995883.3515108,223,93.75
1747995884.4420526,229,76.92308044433594
1747995886.741111,234,90.625
1747995887.2367203,237,84.375
1747995889.1795497,249,87.5
1747995890.1401417,255,87.5
1747995890.9401479,260,87.5
1747995891.3984122,263,93.75
1747995892.0711,267,93.75
1747995892.8084638,271,93.75
1747995893.1242645,273,90.625
1747995896.1803482,292,96.875
1747995897.0316572,297,96.875
1747995897.193543,298,87.5
1747995897.9932451,303,90.625
1747995898.7815564,308,93.75
1747995899.120165,310,93.75
1747995900.6627197,318,87.5
1747995900.838455,319,87.5
1747995901.9830852,326,90.625
1747995902.1507204,327,90.625
1747995902.6147678,330,90.625
1747995904.0183728,339,90.625
1747995905.3119786,347,93.75
1747995907.8512294,363,96.875
1747995908.4653342,367,90.625
1747995909.418331,373,96.875
1747995910.114037,377,100.0
1747995910.5049288,379,96.875
1747995912.3989801,391,78.125
1747995912.537779,392,90.625
1747995915.0981975,408,84.375
1747995917.170307,421,100.0
1747995917.3171384,422,93.75
1747995917.6404777,424,84.375
1747995918.582397,430,100.0
1747995919.9715264,439,93.75
1747995920.2821958,441,93.75
1747995920.4426858,442,93.75
1747995920.9193728,445,87.5
1747995921.8996809,451,93.75
1747995924.7311268,460,93.75
1747995925.217271,463,87.5
1747995925.377356,464,96.875
1747995926.9532127,474,100.0
1747995929.5394547,489,96.875
1747995929.8382936,491,100.0
1747995930.1579232,493,96.875
1747995932.331378,507,93.75
1747995933.2946901,512,100.0
1747995933.6034687,514,93.75
1747995934.0724776,517,100.0
1747995935.325924,525,93.75
1747995936.269668,531,96.875
1747995936.5950503,533,87.5
1747995937.0890253,536,93.75
1747995938.212498,542,93.75
1747995939.012515,547,93.75
1747995940.6204598,557,93.75
1747995940.9070463,559,100.0
1747995941.591411,563,93.75
1747995942.5677087,569,96.875
1747995943.2165387,573,96.875
1747995944.1902065,579,96.875
1747995944.5009787,581,93.75
1747995944.6630495,582,93.75
1747995944.9611816,584,96.875
1747995945.3009274,586,100.0
1747995945.4498777,587,96.875
1747995946.2454364,592,100.0
1747995946.405557,593,90.625
1747995948.0849395,602,100.0
1747995949.3115735,608,96.875
1747995949.6309507,610,100.0
1747995950.4276292,615,100.0
1747995951.2091336,620,93.75
1747995951.5596063,622,100.0
1747995953.4490108,634,96.875
1747995954.5824625,641,93.75
1747995954.7346547,642,96.875
1747995955.0529637,644,100.0
1747995955.3645244,646,93.75
1747995955.519471,647,96.875
1747995955.8453107,649,93.75
1747995957.7209485,661,96.875
1747995958.1965086,664,93.75
1747995958.8025086,668,96.875
1747995959.253326,671,96.875
1747995959.7210271,674,93.75
1747995960.3311605,678,96.875
1747995960.4879575,679,90.625
1747995961.1116798,683,96.875
1747995961.8727105,688,93.75
1747995962.010136,689,92.30769348144531
1747995964.88859,699,100.0
1747995965.5053415,703,93.75
1747995965.9917207,706,100.0
1747995967.247885,714,100.0
1747995967.8743057,718,100.0
1747995968.3568854,721,100.0
1747995968.5249789,722,96.875
1747995968.690376,723,100.0
1747995969.8507369,730,100.0
1747995970.9161649,736,96.875
1747995971.2434611,738,96.875
1747995971.4167938,739,93.75
1747995972.0669537,743,93.75
1747995972.726568,747,93.75
1747995973.2335107,750,93.75
1747995973.39862,751,93.75
1747995973.5572772,752,100.0
1747995974.1949742,756,100.0
1747995975.8924422,765,93.75
1747995976.513476,769,100.0
1747995976.6688333,770,96.875
1747995976.8346293,771,90.625
1747995977.1691656,773,96.875
1747995977.3231063,774,100.0
1747995978.3368807,780,93.75
1747995978.8648736,784,100.0
1747995979.0194168,785,100.0
1747995979.3517766,787,100.0
1747995979.6280634,789,100.0
1747995980.1120992,792,100.0
1747995980.2591538,793,100.0
1747995980.4243891,794,100.0
1747995980.5724275,795,96.875
1747995981.0564764,798,96.875
1747995981.6632996,802,100.0
1747995982.4563138,807,96.875
1747995982.6183672,808,100.0
1747995982.7826078,809,100.0
1747995983.6978552,815,100.0
1747995985.5075881,825,96.875
1747995986.0038939,828,96.875
1747995986.6324892,832,100.0
1747995987.4765363,836,100.0
1747995987.7685304,838,100.0
1747995988.5575442,843,96.875
1747995992.279503,867,100.0
1747995992.606987,869,100.0
1747995992.7655182,870,93.75
1747995993.3629606,874,100.0
1747995993.6479397,876,100.0
1747995994.307838,880,96.875
1747995994.6010246,882,93.75
1747995995.8651154,890,100.0
1747995996.7903278,896,100.0
1747995997.3994217,900,100.0
1747995998.5236933,907,100.0
1747995998.6917045,908,96.875
1747995998.845709,909,100.0
1747995998.9993348,910,100.0
1747995999.8481388,915,96.875
1747996000.182216,917,96.875
1747996002.13355,920,100.0
1747996002.3026628,921,100.0
1747996002.614113,923,100.0
1747996003.87025,931,96.875
1747996004.0387766,932,96.875
1747996004.4868572,935,100.0
1747996005.6010926,942,93.75
1747996006.0742807,945,100.0
1747996007.4660869,954,100.0
1747996007.795862,956,100.0
1747996008.10498,958,100.0
1747996008.5718756,961,100.0
1747996008.725316,962,100.0
1747996010.1837463,971,100.0
1747996010.3500118,972,100.0
1747996010.9778295,976,100.0
1747996011.126141,977,100.0
1747996011.2827942,978,96.875
1747996011.434623,979,100.0
1747996012.0352862,983,100.0
1747996012.1953259,984,100.0
1747996012.6831567,987,96.875
1747996012.8388054,988,100.0
1747996014.102054,996,96.875
1747996014.7358205,1000,100.0
1747996015.0685396,1002,96.875
1747996015.3868587,1004,100.0
1747996015.544866,1005,100.0
1747996016.9256604,1014,96.875
1747996017.3887177,1017,100.0
1747996018.6585982,1025,93.75
1747996018.9626045,1027,100.0
1747996019.5728626,1031,96.875
1747996019.7332103,1032,100.0
1747996020.4883485,1037,100.0
1747996021.6068528,1044,100.0
1747996023.3837643,1055,96.875
1747996023.7024062,1057,100.0
1747996024.6437142,1063,100.0
1747996025.0928676,1066,100.0
1747996025.3945808,1068,100.0
1747996026.0217092,1072,90.625
1747996026.6484883,1076,100.0
1747996026.9570634,1078,96.875
1747996027.7313104,1083,100.0
1747996027.909974,1084,100.0
1747996028.0706723,1085,96.875
1747996029.306232,1093,96.875
1747996030.2292538,1099,100.0
1747996030.856181,1103,96.875
1747996031.008933,1104,100.0
1747996031.1447475,1105,100.0
1747996032.5577867,1114,100.0
1747996033.3527505,1119,100.0
1747996035.5300503,1133,100.0
1747996035.8394744,1135,100.0
1747996040.1333055,1155,96.875
1747996040.2964518,1156,100.0
1747996040.9153657,1160,100.0
1747996041.0619915,1161,100.0
1747996041.2291327,1162,100.0
1747996043.9660609,1180,100.0
1747996044.7386642,1185,96.875
1747996045.8486981,1192,100.0
1747996045.9975839,1193,100.0
1747996046.9599123,1199,93.75
1747996047.2908323,1201,100.0
1747996048.0780857,1206,100.0
1747996048.4022784,1208,100.0
1747996048.7268755,1210,100.0
1747996049.3396785,1214,100.0
1747996052.2821407,1232,100.0
1747996052.6099317,1234,100.0
1747996052.9394195,1236,100.0
1747996054.1857643,1244,100.0
1747996054.6410267,1247,100.0
1747996055.6346614,1253,100.0
1747996055.9551969,1255,100.0
1747996056.257129,1257,100.0
1747996056.423983,1258,100.0
1747996056.874944,1261,100.0
1747996057.660615,1266,100.0
1747996058.9884787,1274,100.0
1747996060.1187744,1281,100.0
1747996061.097884,1287,100.0
1747996061.7315447,1291,96.875
1747996061.8796165,1292,100.0
1747996062.0341048,1293,100.0
1747996062.194865,1294,100.0
1747996063.1092908,1300,96.875
1747996064.6765373,1310,96.875
1747996064.989945,1312,100.0
1747996065.4697812,1315,100.0
1747996065.6292667,1316,100.0
1747996066.1036925,1319,100.0
1747996067.039444,1325,100.0
1747996067.3291504,1327,100.0
1747996067.797274,1330,96.875
1747996068.273357,1333,100.0
1747996068.7348983,1336,100.0
1747996068.8883774,1337,100.0
1747996071.7316947,1355,96.875
1747996073.4044585,1366,100.0
1747996073.9971113,1370,100.0
1747996077.84346,1385,100.0
1747996078.3080409,1388,100.0
1747996078.4572983,1389,100.0
1747996078.7634532,1391,100.0
1747996078.9160614,1392,100.0
1747996082.089797,1412,100.0
1747996082.29515,1413,100.0
1747996082.496786,1414,100.0
1747996083.2748904,1419,100.0
1747996083.7757962,1422,100.0
1747996084.3957617,1426,100.0
1747996084.6987467,1428,100.0
1747996085.3846662,1432,100.0
1747996085.9982817,1436,100.0
1747996086.6514988,1440,100.0
1747996089.1799982,1456,100.0
1747996090.6167448,1465,100.0
1747996090.776339,1466,100.0
1747996092.4876733,1477,100.0
1747996093.6937418,1485,100.0
1747996093.8456042,1486,96.875
1747996094.2961123,1489,100.0
1747996094.5933883,1491,100.0
1747996094.7256413,1492,100.0
1747996095.9567018,1500,100.0
1747996096.103749,1501,100.0
1747996097.2298074,1508,100.0
1747996097.5565653,1510,100.0
1747996099.605157,1523,96.875
1747996099.7881641,1524,100.0
1747996100.2606921,1527,100.0
1747996101.3183267,1534,100.0
1747996103.2352703,1546,100.0
1747996104.0274942,1551,100.0
1747996104.1897545,1552,100.0
1747996104.4972856,1554,100.0
1747996105.5558894,1561,100.0
1747996106.670372,1568,100.0
1747996106.8300986,1569,100.0
1747996108.2070837,1578,100.0
1747996108.8154655,1582,100.0
1747996109.120011,1584,100.0
1747996109.760567,1588,100.0
1747996111.1933079,1597,100.0
1747996112.388446,1604,100.0
1747996112.5474288,1605,100.0
1747996114.6203372,1610,100.0
1747996115.8449137,1618,100.0
1747996116.1264994,1620,100.0
1747996117.1737556,1627,100.0
1747996117.332426,1628,100.0
1747996117.9377222,1632,100.0
1747996118.7156572,1637,100.0
1747996119.1437135,1640,100.0
1747996119.4741995,1642,100.0
1747996119.9388828,1645,100.0
1747996120.4318578,1648,100.0
1747996121.1126947,1652,100.0
1747996122.3310182,1660,100.0
1747996123.5538795,1668,100.0
1747996123.858557,1670,100.0
1747996124.1623871,1672,100.0
1747996124.639075,1675,100.0
1747996124.7869024,1676,100.0
